"","x"
"1",1.08191146610239e-06
"2",3.65459524818293e-06
"3",5.95953938830182e-06
"4",1.23913699890835e-06
"5",5.7464051346293e-06
"6",2.86575138903285e-06
"7",1.48108093974249e-06
"8",2.30900237876097e-06
"9",1.07435953364218e-06
"10",1.66316603936112e-06
"11",4.89835495265878e-06
"12",3.22263698908233e-06
"13",2.82533793395612e-06
"14",2.89004914793367e-06
"15",1.08120644916657e-06
"16",2.39665014411989e-06
"17",6.18870903062365e-06
"18",2.70585330529835e-06
"19",5.62763413361197e-06
"20",5.58120840598447e-06
"21",2.41142693174828e-06
"22",2.16808959951972e-06
"23",1.50449997701997e-06
"24",3.21233310397653e-06
"25",6.05905378580094e-06
"26",6.05027916548204e-06
"27",3.70914107657957e-06
"28",5.57771073234961e-06
"29",3.8107606533052e-06
"30",1.7226061458766e-06
"31",5.97107420255734e-06
"32",1.28878866469742e-06
"33",4.1293093348134e-06
"34",4.77867625756302e-06
"35",2.22820878898594e-06
"36",2.83968732402791e-06
"37",2.77136387459316e-06
"38",3.31173494958671e-06
"39",3.5089127401297e-06
"40",1.58676213471844e-06
"41",5.6987326856623e-06
"42",3.19049279050056e-06
"43",1.49372972288431e-06
"44",3.56359241958937e-06
"45",4.92248910028544e-06
"46",1.93151363408836e-06
"47",3.64170127621905e-06
"48",1.52024516015912e-06
"49",1.45833366620074e-06
"50",2.86238494716372e-06
