"","x"
"1",2.55790518621326e-06
"2",5.25207547349917e-06
"3",6.00993101140726e-06
"4",2.09342622521564e-06
"5",1.87312325122459e-05
"6",3.65672886536936e-06
"7",3.07289664633148e-06
"8",4.16104215438781e-06
"9",5.3517371954268e-06
"10",7.43097465648237e-06
"11",6.69485658465587e-06
"12",2.38841034401465e-06
"13",4.70243245085592e-06
"14",3.99597420743785e-06
"15",4.24215846879427e-06
"16",4.46176168546209e-06
"17",4.02322611869043e-06
"18",2.73302804776281e-06
"19",9.57307136118198e-06
"20",6.28763409899654e-06
"21",3.63716221292155e-06
"22",2.87339277749978e-06
"23",3.22173774628814e-06
"24",3.74655909983978e-06
"25",2.44701858304137e-06
"26",2.81231239944734e-06
"27",5.60397717509016e-06
"28",2.05291710063466e-06
"29",4.60582226225679e-06
"30",2.97638016588157e-06
"31",3.42590402337101e-06
"32",2.86047669037993e-06
"33",2.90135478659128e-06
"34",8.60434582100415e-06
"35",2.82764092315309e-05
"36",3.85450387154505e-06
"37",8.62681594626248e-06
"38",3.19326815836687e-06
"39",5.3418161771334e-06
"40",4.72293636980349e-06
"41",2.48843821538417e-06
"42",3.28012412476271e-06
"43",5.60000049770339e-06
"44",2.72578183325615e-06
"45",2.23521857297445e-06
"46",2.04197631353927e-06
"47",3.93244493668633e-06
"48",3.83373003653479e-06
"49",3.63918334087561e-06
"50",2.13392828992966e-06
