"","x"
"1",2.17443184321898e-06
"2",5.77072106893851e-05
"3",0.00197437920485583
"4",4.22587215409058e-05
"5",5.62615031716591e-05
"6",3.43084243928715e-05
"7",0.000245118533705568
"8",7.9986000070812e-06
"9",0.000354461462514014
"10",1.15244730824568e-05
"11",0.000155728658736659
"12",3.09475616525528e-05
"13",0.000396548650817938
"14",0.000537047624996632
"15",0.00122719048781145
"16",1.53043195977017e-05
"17",6.15672971128497e-05
"18",1.64093250372632e-06
"19",4.05180205459318e-06
"20",0.000951592764215661
"21",2.83040896411165e-05
"22",0.000279918843470923
"23",1.15890757670553e-06
"24",0.000948059933270616
"25",0.000144674615799587
"26",0.000636773730423785
"27",8.37454054637591e-05
"28",8.99174536614299e-08
"29",0.000250898470625509
"30",7.0964692627591e-05
"31",1.30353568917063e-06
"32",0.000140731588564891
"33",0.000103443623871944
"34",1.06418242880172e-05
"35",0.00252079528736072
"36",0.000173100839716356
"37",0.00114043020741259
"38",0.000133659897714746
"39",0.000930826351213007
"40",0.000599200182595708
"41",5.58937221691649e-07
"42",0.000578272869318189
"43",0.000657374775617677
"44",0.00011193008463727
"45",5.1093278919409e-05
"46",0.000262225334239095
"47",0.00014413167407295
"48",8.16458227979925e-05
"49",3.44638895560371e-08
"50",8.53465588723982e-06
