"","x"
"1",9.6110476656745e-07
"2",4.19443860202383e-07
"3",1.48282531383918e-06
"4",1.34278466996294e-06
"5",5.32811135347241e-07
"6",4.4008062401355e-07
"7",1.20169377378027e-06
"8",1.75666020410832e-06
"9",7.50680348633308e-07
"10",5.92951847048756e-07
"11",6.04738293838989e-07
"12",6.74274178686148e-07
"13",1.4361091989178e-06
"14",1.12947711538642e-06
"15",6.15054493332835e-07
"16",4.76382677763973e-07
"17",9.5671830105458e-07
"18",1.09180503891892e-06
"19",1.73630563571487e-06
"20",1.11978039054156e-06
"21",1.802149310907e-06
"22",8.1696986069227e-07
"23",4.82993409976832e-07
"24",6.01174076371728e-07
"25",1.00770300606266e-06
"26",7.53155240260195e-07
"27",7.03876738188398e-07
"28",5.45263678652421e-07
"29",2.39719905504901e-06
"30",4.7036111152835e-07
"31",8.68449672234131e-07
"32",1.2514783554106e-06
"33",7.02758045086906e-07
"34",1.08150219760982e-06
"35",9.53684859206878e-07
"36",8.14148701498685e-07
"37",4.72472643073965e-07
"38",5.32772592470714e-07
"39",1.3492999930738e-06
"40",9.30043355438743e-07
"41",7.12866018394639e-07
"42",1.57881472527812e-06
"43",1.00640958892005e-06
"44",2.32543400386665e-06
"45",8.50668847582743e-07
"46",7.2262869096447e-07
"47",6.31363459434033e-07
"48",1.17307004268385e-06
"49",9.54519066996895e-07
"50",6.30465156616818e-07
