"","x"
"1",1.52477984848753e-07
"2",1.86309716344306e-05
"3",1.48971716373463e-05
"4",8.02082076020392e-06
"5",2.73372231114601e-05
"6",5.35701629853011e-06
"7",9.6156752898515e-06
"8",5.1715233747797e-06
"9",5.04623905541953e-05
"10",5.43770499758242e-06
"11",1.06449297955902e-05
"12",1.52502425312274e-05
"13",4.84673707344271e-05
"14",1.19580316434802e-05
"15",6.84823755034422e-07
"16",9.9508171879525e-06
"17",2.36087879620278e-05
"18",1.99599914889705e-08
"19",2.0046970999876e-07
"20",6.3660947652398e-06
"21",3.42871741531671e-05
"22",1.70342798196291e-05
"23",1.58422772827087e-05
"24",3.24291846089866e-05
"25",5.607136333826e-06
"26",1.17630737002102e-05
"27",3.91147747048442e-06
"28",1.29891401262532e-06
"29",2.03258405557173e-05
"30",1.22983428948423e-07
"31",6.10840040451347e-06
"32",4.50979202310249e-06
"33",1.06872142351051e-06
"34",1.69445516721742e-05
"35",2.09229042679724e-05
"36",5.01667170571103e-06
"37",3.47086820980057e-05
"38",3.02286558954954e-06
"39",8.70400191878898e-06
"40",8.80701981861427e-07
"41",1.98096049757055e-07
"42",2.56980466318586e-05
"43",7.21707220744482e-06
"44",8.58786663764992e-06
"45",3.11641554153361e-06
"46",9.37083664028833e-06
"47",7.08284882856679e-05
"48",2.59507423143321e-05
"49",1.22911024579973e-06
"50",1.97230774906954e-05
