"","x"
"1",2.83512081754898e-06
"2",5.08308646631634e-06
"3",1.51527828816984e-06
"4",1.45057559570135e-06
"5",2.21594726532247e-06
"6",3.06929717335187e-06
"7",1.71476867173578e-06
"8",3.2505191268984e-06
"9",1.34411968650552e-06
"10",2.58917762213873e-06
"11",1.63730181560784e-06
"12",2.35003351424927e-06
"13",2.5355775484567e-06
"14",2.49023023831256e-06
"15",2.32724582082427e-06
"16",1.63516264526016e-06
"17",1.82276769813788e-06
"18",5.41507812032184e-06
"19",3.38069506880931e-06
"20",2.88939870306214e-06
"21",2.69486145776781e-06
"22",6.27662626959004e-06
"23",1.66770656590846e-06
"24",2.49552444048626e-06
"25",3.23277613107355e-06
"26",1.69920717213893e-06
"27",2.27277090609523e-06
"28",1.48900642094381e-06
"29",2.81811253777878e-06
"30",2.45412937823797e-06
"31",2.39439937762258e-06
"32",1.63812949563572e-06
"33",2.82182659990038e-06
"34",3.6202816923574e-06
"35",3.9058191603962e-06
"36",2.12207221357299e-06
"37",1.93750299167623e-06
"38",2.64810333644963e-06
"39",3.66936290879608e-06
"40",1.32021430018913e-06
"41",2.62466837447363e-06
"42",2.06141827152247e-06
"43",2.19467185597037e-06
"44",2.00855616454176e-06
"45",2.11179712924409e-06
"46",1.72635780167362e-06
"47",1.99312302997577e-06
"48",1.45109728713182e-06
"49",2.2718671373956e-06
"50",2.79304319786184e-06
